Sources_of_income,Total_sheltered,Percent_sheltered,Total_unsheltered,Percent_unsheltered,Total_respondents,Percent_respondents,year_2018
Welfare/ income assistance,1135,45,1406,49,2541,47,40
Job full-time,118,5,68,2,186,3,4
Job part-time,190,8,156,5,346,6,11
Job casual (e.g. contract work),238,10,248,9,486,9,NA
Job informal,66,3,176,6,242,5,NA
"Binning, bottle collecting",270,11,513,18,783,15,13
Panhandling,127,5,330,11,457,9,8
Vending,80,3,201,7,281,5,4
Money from family/ friends,245,10,335,12,580,11,8
Employment insurance,74,3,58,2,385,7,2
"Disability benefit (e.g. PWD, PPMB)",869,35,812,28,1681,31,29
Old Age Security (OAS)/Guaranteed Income Supplement,135,5,95,3,230,4,5
CPP or other pension,182,7,106,4,288,5,6
Youth agreement,7,0,7,0,14,0,1
Veteren VAC benefits,11,0,4,0,15,0,NA
Child + family tax benefit,61,2,28,1,89,2,NA
GST/HST refund,462,19,333,12,795,15,NA
Other sources,174,7,211,7,385,7,9
No income,136,5,238,8,374,7,10
Respondents,2497,NA,2871,NA,5368,NA,NA
Don't Know/No Answer,2836,NA,461,NA,3297,NA,NA
Total,5333,NA,3332,NA,8665,NA,NA
